Question,Answer
Why does Region Dashboard show “Select an Option”?,"The Region Dashboard shows “Select an Option” because no region has been selected in the dashboard filter. The dashboard is configured with a Region filter that controls the data displayed in its components. Until a region is selected, the dashboard cannot retrieve region-specific data, so it prompts the user to choose an option before displaying results."
Why does the dashboard still show old timestamps in Home Page?,"The dashboard may show old timestamps because it has not been manually refreshed, or because it is using cached data from the last refresh. In Salesforce Lightning Dashboards, the ""Last Refreshed"" timestamp indicates when the dashboard was last updated. Clicking the Refresh button updates the dashboard with the latest report data. If scheduled refresh or subscription is configured, the timestamp reflects the most recent scheduled execution."
Can user role affect what is visible on the Home page?,"Yes. What a user sees on the Home page can vary based on their permissions and role. While profiles and permission sets control access to dashboards and reports, the user’s role affects which records are visible through the role hierarchy and sharing rules. As a result, dashboard components may display different data depending on the user’s access level."
Why does another user see different data on the same Home page?,"Another user may see different data on the same Home page because dashboard visibility depends on access permissions and execution context. Dashboards can run as a specific user or as the logged-in user (dynamic dashboard). Additionally, differences in roles, sharing rules, profile permissions, and folder access can affect which records and reports are visible to each user."
Can outdated data be mistaken for an error?,"Yes. Outdated data can be mistaken for an error. If a dashboard or its underlying reports have not been refreshed recently, users may see old data and assume it is incorrect. Dashboards rely on report data and refresh schedules, so even clicking the Refresh button may not immediately update data if the reports themselves are cached or scheduled to refresh at specific intervals. Checking the “Last Refreshed” timestamp helps confirm whether the data is current."
Can deleting a report affect the dashboard displayed on the Home page?,"Yes. If a report used by a dashboard component is deleted, the dashboard component will break and display an error because its data source no longer exists. However, simply renaming a report does not break the dashboard, since dashboards reference the report ID, not the report name."
Can missing order data cause dashboard issues?,"Yes. Missing order data can affect dashboard results. Dashboards rely on underlying records, so if no order data exists, the related charts may display empty results or show “No data available.” However, the dashboard component itself will still render unless there is a configuration or permission issue."
Does case status affect visibility in the Case Resolution Report displayed on the Home page?,"Yes. If cases are not closed or resolved, they may not appear depending on report configuration.Yes. Case status can affect visibility in the Case Resolution Report displayed on the Home page. If the underlying report is filtered to show only Closed or Resolved cases, cases with other statuses (such as New or In Progress) will not appear. Visibility depends on the report’s filter configuration."
Can incorrect report filters affect customer retention data displayed on the Home page dashboard?,"Yes. Incorrect report filters can affect customer retention data displayed on the Home page dashboard. Filters such as date range, region, customer type, or status may exclude certain records, causing incomplete or misleading retention metrics."
How do I see a detailed report for a specific section when I am on the Home page?,"→ Go to the Home page
→ Locate the specific dashboard section
→ Click the “View Report” link within that section
→ Salesforce navigates you to the full report page, showing detailed data, filters, and insights for that section."
How can I export a report for a specific dashboard section from the Home page?,"→ Go to the Home page
→ Identify the required section which you want to export
→ Click the “View Report” link within that section
→ On the top-right corner of the report page, find the Edit option 
→ Next to Edit, you will find a down arrow (▼) icon 
→ Click on down arrow (▼) icon 
→ Locate the Export option
→ Select the Export View
→ Export the report"
What are the steps to subscribe to a report for a specific section in Salesforce?,"→ Go to the Home page
→ Identify the required section which you want to subscribe
→ Click the “View Report” link within that section
→ On the top-right corner of the report page, find the Edit option 
→ Next to Edit, you will find a down arrow (▼) icon 
→ Click on down arrow (▼) icon 
→ Locate the Subscribe option
→ Edit the Subscription
→ Click Save to Subscribe"
How do I add a new dashboard that appears on my Home page?,"→ Go to home page in Salesforce
→ Find Business Insights Dashboard Section
→ Click the “Open” button at the top-right of the dashboard section
→ Salesforce navigates you to the Analytics (Lightning Dashboard) page
→ Look at the top-right corner of the dashboard
→ Click on down arrow (▼) icon 
→ Select the New Dashboard option
→ Enter dashboard details
→ Add widgets or components to the dashboard
→ Save and activate the dashboard
→ Make the dashboard visible on the Home page
→ Verify the dashboard on the Home page"
How do I change the owner from the Home page in Salesforce?,"→ Go to home page in Salesforce
→ Find Business Insights Dashboard Section
→ Click the “Open” button at the top-right of the dashboard section
→ Salesforce navigates you to the Analytics (Lightning Dashboard) page
→ Look at the top-right corner of the dashboard
→ Click on down arrow (▼) icon 
→ Select the Change Owner option
→ Search for a user, role, or predefined perspective
→ Click Submit"
How do I edit component in a dashboard using the Home page in Salesforce?,"→ Go to home page in Salesforce
→ Find Business Insights Dashboard Section
→ Click the “Open” button at the top-right of the dashboard section
→ Salesforce navigates you to the Analytics (Lightning Dashboard) page
→ Select Edit in the top-right corner
→ Select the component you want to edit, in that there will be a (edit icon)
→ Update the component properties (report source, chart type, filters, title, etc.)
→ Click Update
→ Resize or reposition the component as needed
→ Click Save to save the dashboard
→ Return to the Home page to verify the updated component"
Where are Events displayed after creation in customer?,"→ Go to the customer page
→ Click any customer record
→ On the top-right corner there is a activity section in that you have Events a (calender icon)
Events appear in:
→ The Customer Activity Timeline
→ The Salesforce Calendar"
"What are Events and Tasks in Salesforce, and why are they used in a Customer record?","Events and Tasks are Activities used to track all interactions and follow-ups with a customer. They help users plan future actions and record past interactions, ensuring no customer communication is missed."
How can I tell whether the dashboard is broken or just has no data?,"The message “We can’t draw this chart because there is no data” indicates that the system is functioning but lacks records to display. However, the dashboard does not clearly guide the customer on what data is missing, creating confusion."
How to delete the Business Insights Dashboard?,"→ Go to home page in Salesforce
→ Find Business Insights Dashboard Section
→ Click the “Open” button at the top-right of the dashboard section
→ Salesforce navigates you to the Analytics (Lightning Dashboard) page
→ Look at the top-right corner of the dashboard, Click on down arrow (▼) icon 
→ Select the Delete option.
→ You will get a popup on the screen for confirmation 
→ Click Delete button to delete the Dashboard"
How to change the dashboard grid size?,"→ Go to home page in Salesforce
→ Find Business Insights Dashboard Section
→ Click the “Open” button at the top-right of the dashboard section
→ Salesforce navigates you to the Analytics (Lightning Dashboard) page
→ On the top-right corner of the dashboard, click Edit
→ Again on the top-right corner, click Setting icon
→ Select the Dashboard Grid Size
→ Click Save button"
How to change the dashboard theme?,"→ Go to home page in Salesforce
→ Find Business Insights Dashboard Section
→ Click the “Open” button at the top-right of the dashboard section
→ Salesforce navigates you to the Analytics (Lightning Dashboard) page
→ On the top-right corner of the dashboard, click Edit
→ Again on the top-right corner, click Setting icon
→ Select the Dashboard Theme to (Light/Dark)
→ Click Save button"
How to change the dashboard palette?,"→ Go to home page in Salesforce
→ Find Business Insights Dashboard Section
→ Click the “Open” button at the top-right of the dashboard section
→ Salesforce navigates you to the Analytics (Lightning Dashboard) page
→ On the top-right corner of the dashboard, click Edit
→ Again on the top-right corner, click Setting icon
→ Select the required type of dashboard palette
→ Click Save button"
What is Expand All / Collapse All?,"Expand All:
Shows all sections fully open.
You can see complete details at once.
Example: All fields, panels, or grouped data become visible.

Collapse All:
Hides all sections into compact headers.
Only section titles are visible.
Helps reduce clutter on the screen."
How do you edit a customer’s name directly in the list view?,"→ Click Customer page
→ Stay in List View (table format)
→Move mouse on customer name
→ Click the pencil icon next to the customer’s name.
→ Edit the name in place.
→ Press Enter or click outside the field to save."
How to create a new customer? ,"→ Click Customer page
→  Click “New.”
→  Fill out the required fields like Customer Name.
→  Click “Save.”"
How do you import multiple customers at once?,"→ Click Customer page
→ Click the “Import” button.
→ Upload a CSV file containing customer data.
→ Map the CSV columns to the appropriate Salesforce fields.
→ Click “Start Import.”"
How do you change the owner of selected customer records?,"→ Click Customer page
→ Select the checkboxes next to the customers you want to update.
→ Click the “Change Owner” button.
→ Choose the new owner from the list and confirm.
"
What does the “Assign Label” button do?,"→ Click Customer page
→ the top-right corner there is a Assign Label 
→ Select the customers you want to label.
→ Click “Assign Label.”
→ Choose or create a label and apply it."
How do you delete a customer record?,"→ Click Customer
→ Click customer name
→ Click the dropdown arrow next to the customer.
→  Select “Delete.”
→  Confirm the deletion."
What happens when you refresh the list view in customer?,"→ In customer page
→ Click the refresh icon.
→ Salesforce re-fetches the latest data from the database."
How do you edit a customer’s details in Salesforce from the list view?,"→ Click Customer page
→  Click the dropdown arrow we get edit option
→ Locate the customer record you want to edit in the list view.
→ Click on the pencil icon next to the specific field you wish to change. For example, if you want to edit the customer’s phone number, click the pencil icon next to the phone number field.
→ Update the value 
→  click Save"
What is the use of the List Display button in customer ?,"→ Customer Page
→ Click List Display button
→ In customer , the List Display button is used to view records in different layouts based on the user’s working preference. (Table, Kanban, and Split View)"
What is Table View in customer?,"→ Table View shows records in a row-and-column format, similar to an Excel spreadsheet.

Each row = one record
Each column = one field (Name, Status, Owner, Date, etc.)"
What is Kanban View in customer?,"→ Kanban View displays records as cards grouped by a specific field (usually Status or Stage).

Each column = a stage (New, In Progress, Closed, etc.)
Each card = one record"
What is Split View in customer?,"→ Split View shows:
Left side: Record list
Right side: Details of the selected record
→ No need to open a new page."
What is the Settings Button in customer?,→ The Settings button (gear icon ) in a Salesforce List View is used to customize how records are displayed and managed in that list.
Why do we use the Settings button in List View in customer?,"→ click customer
→ click setting icon
→ Customize the view of records
→ Improve user productivity
→ Show only relevant data
→Control how users interact with records"
Why do we use the Pin button in customer?,"→ click customer
→ Always open the most important list view by default
→ Save time by avoiding repeated list selection
→ Improve daily productivity
→ Personalize the workspace for each user"
 Why do we use the Unpin button in customer?,"→ click customer
→ The pinned list is no longer relevant
→ Job roles or responsibilities change
→ A different list view needs to be set as default"
What is the Pin and Unpin button in customer?,"→ The Pin button in Salesforce is used to set a List View as the default view for a user on an object’s tab.
The Unpin button removes that list view as the default."
What does the Show All Activities button do in customer record page?,"→ click customer
→  Open Customer Record
→  Go to Activity tab
→ Click Show All

Shows:
→ Calls
→ Tasks
→ Events
→  Emails"
What is the purpose of the New Contact button on the Customer record page?,"→ The New Contact button is used to create a new Contact record that is automatically related to the current Customer.
→ This ensures proper data relationship and avoids manual linking."
What does the Edit button do on a customer record page?,"→  The Edit button allows users to modify existing field values of the Customer record such as Email, Phone, Address, or Customer Type."
Why do we use the New Opportunity button on the Customer page?,"→  The New Opportunity button creates a sales opportunity linked to the current customer, helping track potential revenue."
What is the purpose of the Related tab in customer?,"→ The Related tab shows all child and related records connected to the Customer, such as:
→support cases
→Appointments
→Orders"
What is Timeline Settings in customer ?,"→ Click customer page
→ Click customer record
→ Click Settings
→  Timeline Settings control what activities are shown, how they are grouped, and how far back or forward activities are displayed in the Activity Timeline on a record page (like Customer, Case, Lead, etc.)."
What is the purpose of the New Case option in the Customer record dropdown?,"→ click customer
→ New Case is used to create a Support Case directly related to the selected Customer.
→ To log customer issues or complaints
→ To track customer support requests
→ To assign problems to support agents"
Why do we have a New Lead option in the Customer record?,"→ click customer
→ The New Lead option is used to create a new potential customer (Lead) using information from the current Customer record.
→ When an existing customer refers a new business
→ To capture new sales opportunities
→ To avoid re-entering data"
What happens when we click Delete on a Customer record?,"→  The Delete option removes the Customer record from Salesforce and moves it to the Recycle Bin.

→ To remove duplicate records
→ To clean incorrect or invalid data"
What is the use of the Clone option in the Customer record?,"→  Clone creates a copy of the current Customer record with most fields pre-filled.

→ Saves data entry time
→ Reduces manual errors
→ Helps create similar customers quickly"
What is Printable View and why is it used?,"→ Click customer Page
→ Printable View shows the Customer record in a print-friendly format.
→ To take hard copies
→ To share details offline
→ For audits, reviews, or meetings"
What is the purpose of Sharing in the Customer record dropdown?,"→ Sharing allows users to manually grant access to specific users or roles.

→ Collaboration across teams
→ Controlled record access
→ Temporary data sharing"
What is Sharing Hierarchy in customer page?,"→  haring Hierarchy displays who can access the Customer record based on role hierarchy.
→ To understand data visibility
→ To troubleshoot access issues
→ For security audits"
what is Leads?,"
→  Lead is a potential customer someone who has shown interest in your product or service
 but has not yet become a confirmed customer.
"
How can create a New Leads?,"→ Go to the top navigation bar.
→ Click on LEADS.
→ On the top-right corner of the Leads page click on NEW → A New Lead form opens
→ Fill the form Lead Required fields( Name, company ,lead status ..etc)  and Fill Optional Lead Information if data is available
→ click SAVE"
How to edit customer leads details?,"→  Go to the top navigation bar
→ Click on Lead
→ Select a customer 
→ On the top-right of the Lead detail page 
→ Click on down arrow (▼) icon 
→ Click the EDIT button  
→ Edit form will appear and make the  required changes 
→ SAVE
     Verify changes reflect correctly ,Confirm no other fields changed
"
How to delete record in leads?,"→  Go to the top navigation bar  Click on Lead
→ Select a Lead and Click the dropdown arrow
→ Click on option DELETE from the menu→ A confirmation popup appears Click 
→ DELETE to confirm
     Recheck wheather the Lead is deleted or not  "
How to change owner of records in leads?,"→  Go to the top navigation bar  Click on Lead
→ Tick the checkbox next to the lead name
→ On the top-right corner of the Leads page click on CHANGE OWNER→ Owner change popup opens 
→ Validate that the new owner has access to Leads
→ Check or uncheck to Send Notification Email
→ Click SUBMIT
     Verify Owner field updates successful or not
"
How to Assign label to lead?,"→ Go to the top navigation bar  Click on Lead
→ Select one lead, Tick the checkbox next to the lead name
→ on the top right corner Click on ASSIGN LABEL
→ Choose or add a label 
→ SUBMIT"
How to assign labels for multiple Lead to easily recognize or categorize it in leads?,"→ From the top navigation bar Click Leads
→ Select  multiple lead and Tick the multiple checkbox next to the lead name   
→ on the top right corner Click on ASSIGN LABEL
→ Choose or add a label 
→ click on SUBMIT
→ Ensure wheather labels are assigned for selected leads"
How to  send mail to leads?,"→  Go to the top navigation bar
→  Click on Lead
→ Select the lead  
→ Click on EMAIL option in the actions column
→ Enter the subject
→ write the regarding mail  
→ choose the option RELATED TO and select the option regarding the which purpoose (Account,Assets,Campaign)you are mailing them
→  Click on SEND"
How to send the mail to multiple leads?,"→  Go to the top navigation bar  Click on Lead
→ Select the multiple lead using the checkbox 
→ On the top right corner Click on MAIL option
→ Down right corner a pop will open 
→ write  the subject and content regarding mail
→ choose the option RELATED TO and select the option regarding the which purpoose (Account,Assets,Campaign)you are mailing them
→ Click on SEND"
How to change status of lead?,"→  Go to the top navigation bar
→  Click on Lead
→ Select the lead and Click on PEN ICON in the lead status column pop up will appear
→ select the status from the options
→ Click SAVE
→ check the updated status"
How to change status from not contacted to contacted in leads?,"→  Go to the top navigation bar
→  Click on Lead
→ Select the multiple lead using the checkbox to change the same kind of status to change
→ click on CHANGE STATUS  on the right top corner 
→ select the status  from not contacted to contacted from the options
→ SAVE
→ check the updated status"
How to Filter Leads Based on Created Date?,"→ Go to the top navigation bar
→ Click on Leads
→ click on CREATED option top right corner
→ choose the options the drop down menu  (this quarter ,last month ,this week ,this month, custom)
→ Click APPLY
→  it will show the leads based  when it is created "
How to check the important leads?,"→ Go to the top navigation bar
→ Click on Leads
→ Click on the IMPORTANT LEADS option on top right corner  
→ it will display only  important leads which are already marked as important leads"
How to rename the lead object?,"→ Go to the top navigation bar
→ Click on Leads
→ Click on LEAD VIEW SETTING on top right corner
→  select the RENAME option from that  menu. popup will appear
→ write the new name in the lead view name field 
→ click on SAVE."
How to refresh the page after updating the leads?,"
→ after submitting some changes or updating 
→ click on the REFRESH button on the top right corner
→ check the updated fields are changed responsibly"
How to add new filter in the SHOW FILTERS option?,"→ Go to the top navigation bar Click on Leads
→ Click on the SHOW FILTERS option on right top corner
→ Click on the ADD FILTER button
→ Choose the converted filter from the options 
→ Click on DONE and SAVE"
How  to Log a Call from Lead Record?,"→ Click on Leads from the top navigation bar.
→ From the My Leads list, click the Lead Name you want to log the call for.
→ On the Lead detail page, scroll to the Activity section
→ Click on Log a Call
→ Enter required  Call Details fields(subject ,comments ,names, related to)
→ Click Save
→ Go to Activity Timeline You will see the call under Past Activity."
How to add a new task in lead?,"→ Go to the top navigation bar Click on Leads
→ From the List View, click on the Lead Name where you want to add the task.
→ Click on New Task button on the right corner , tab will  open .
→ Enter the task information such as subject,Assigned To,Related To,Name
→ Set Task Status 
→ Click Save 
    The task is now created and linked to that Lead."
How to add event to the leads?,"→  Go to the top navigation bar  Click on Lead
→ Click the Lead Name for which you want to schedule the event
→ on the  right corner click on NEW EVENT .The Event creation form opens
→ fill the event form with the required fields such as subject ,meeting start and end with time, related to ,assigned to.
→ Click on SAVE
     Go to Activity Timeline ,The event appears under Upcoming Activities"
How to create campaign history?,"→ Go to the top navigation bar  Click on Lead
→ Click on the Lead Name
→ click on the CAMPAIGN  HISTORY located to right side 
→ from the right top corner click on add to campaign button 
→ Search and select the Campaign Name, Choose Member Status (example: Sent).
→ Click Save
    Campaign History is now created."
how to check the new data for particular lead?,"→  Go to the top navigation bar  Click on Lead
→ Click on the Lead Name.
→ The Lead Detail Page opens 
→ on the top right side click the button CHECK FOR NEW DATA
→ Check Last Modified By ,Last Modified Date & Time
→ Check HubSpot Last Synced
     Check Campaign History .if count changes from 0 to 1 or more, new campaign data is added"
How to edit the lead required information and address information ?,"→ Go to the top navigation bar Click on Leads
→ Click the Lead Name for which you want to edit the details.lead detail page will open.
→ Click the Pencil (Edit) icon next to that field
→ update the changes 
→ click on SAVE"
How do you follow a Lead when The lead is important or high priority?,"→ Go to the top navigation bar Click on Leads
→ Click on the Lead name you want to track.
→ On the top-right of the Lead record, click the Follow button.
→ Once clicked, the button changes to Following"
How can I see all the leads assigned to me?,"→ Click on Leads from the top navigation bar
→ At the top left, click the List View dropdown
→ From the list, choose My Leads
→ This page shows only the leads where Owner = Me"
How do I call a lead directly from Salesforce?,"→ Click on Leads from the top navigation bar
→ Select a lead you want to call and Click the Phone icon in the Actions column
→ If telephony is enabled, the call will start immediately."
How do I check if there is any new activity for this lead?,"→ Go to the top navigation bar Click on Leads
→ Open the lead record.
→ Open the Activity Tab In the middle section, click show all Activity
→ Check the Activity Timeline
→ Look at the top of the timeline ,The most recent activity appears first
→ Check:
                Logged Calls
                Emails
                Tasks
                Meetings (Events)
     if you see a recent date/time → there is new activity.
"
How can I create a support case from this lead?,"→ Go to the top navigation bar Click on Leads
→ Click on the Lead Name
→ Click New Case at the top right.
→ Enter required information:
          Contact name
          Subject → Example: Product Issue
          Status → New
          Description → Enter customer issue details
→ Click SAVE."
What actions are available under the Actions column ?,"Send Email
Make a Call
More actions (dropdown)"
How do I assign a lead to another sales rep in leads?,"→ Go to the top navigation bar Click on Leads
→ Click on the Lead Name you want to reassign
→ Select lead Name you want to reassign, Tick the checkbox next to the lead name
→ At the top right, click Change Owner button
→ In the Owner field, search and select the new Sales Rep’s name.
→ Click SAVE
     The Lead is now assigned to the new Sales Rep."
How do I add a note about customer discussion in  leads?,"→ Go to the top navigation bar Click on Leads
→ Click on the Lead Name and lead detail page will open
→ Click New Note on top right corner, new note will pop up
→ enter the Title and Write discussion or important points in body field 
→ click on SAVE"
How to create a new view in leads?,"→ Go to the top navigation bar Click on Leads
→ on top right-corner, click Setting icon
→ Select create new view option
→ Fill lead view name and lead API name
→ Select the Permission that who can see the view 
→ Click Save"
How can I change the list view in leads?,"→ click on leads
→ At the top left, you will see the current list view name
→ Click the dropdown near Recently Viewed is a default list view in Salesforce.
→ Select another list view such as:
          My Leads
          Recently Viewed
          Custom List View
     The list refreshes based on the selected filter criteria"
How do validation rules impact Lead conversion?,"If required fields are missing or validation fails:
→ Conversion will be blocked.
→ User must fix errors first."
How to design a high-performance Lead management process?,"A high-performance lead process:
Captures leads from multiple sources
Assigns them automatically
Ensures fast follow-up
Tracks activities properly
Measures conversion performance
Prevents lead leakage
Improves conversion rate"
How to  handle duplicate Leads?,"→ Go to Setup option at the right top corner and click on it.
→ a new page will open , Search Duplicate Rules in search bar
→ Click on NEW RULE button in middle of the page
→ Select LEAD from the drop down menu
→ Select Matching Rule created above
→ Choose action:
            →Block 
→ Choose:
            →Alert Text 
→ Save
→ Click Activate"
What is the Custom Orders module?,"→ The Custom Orders module is a centralized system used to create, manage, and track customer orders.
→ It stores important details such as Order Name, Customer Name, Amount, Status, Invoice Number, and SAP integration fields.
→ It helps sales teams monitor the complete lifecycle of an order from creation to payment completion.
→ This module improves financial tracking, reporting accuracy, and operational efficiency."
What is the purpose of the Show dropdown filter?,"→ The Show dropdown allows users to filter orders based on their status.
→ Options may include All, Paid, Unpaid, Overdue, or Confirmed.
→ This helps users focus only on relevant records.
→ It improves tracking and saves time when handling large data."
How does the Search this list feature work?,"→ The Search box allows users to type keywords related to Order Name or Customer.
→ The system filters records dynamically based on matching text.
→ It reduces manual scrolling.
→ It improves speed and efficiency in locating records."
What is the purpose of the Order Name field?,"→ Order Name uniquely identifies each order record.
→ It acts as the primary label in list views and reports.
→ It helps users recognize and differentiate orders.
→ A clear naming convention improves tracking accuracy."
Why is Customer Name mandatory?,"→ Every order must be linked to a valid customer record.
→ It ensures accountability and proper relationship management.
→ It prevents orphan records without context.
→ Mandatory linking improves data integrity."
What is the purpose of the Amount field?,"→ The Amount field stores the total financial value of the order.
→ It is used for revenue tracking and reporting.
→ It helps calculate outstanding balances.
→ It supports financial forecasting and analysis."
What does the Order Status field represent?,"→ The Order Status shows the current stage of the order lifecycle.
→ It indicates whether payment is pending, completed, or overdue. → It helps teams track progress easily.
→ Status updates reflect in reports and dashboards."
What does Unpaid status mean?,"→ Unpaid status indicates payment has not yet been received.
→ The order remains financially open.
→ Follow-up may be required.
→ It signals pending revenue."
What does Paid status mean?,"→ Paid status confirms that payment has been successfully received.
→ The order is financially closed.
→ No further payment follow-up is required.
→ It contributes to recorded revenue"
What does Overdue status mean?,"→ Overdue means the payment due date has passed.
→ The customer has not completed payment.
→ Immediate follow-up may be required.
→ It highlights potential cash flow risks."
 What does Confirmed status mean?,"→ Confirmed status indicates the order has been verified and approved.
→ The details are validated for processing.
→ It moves the order forward in workflow.
→ It ensures readiness for payment tracking."
 What is the purpose of the Customer Email field?,"→ It stores the email address linked to the customer.
→ It allows sending invoices or payment reminders.
→ It supports communication and updates.
→ It improves customer engagement."
 What is Invoice Number used for?,"→ Invoice Number acts as a billing reference.
→ It connects order data with accounting records.
→ It helps resolve payment disputes.
→ It supports financial auditing."
What is SAP Customer ID?,"→ SAP Customer ID links the Salesforce customer record with the corresponding customer in the SAP system.
→ It ensures both systems reference the same customer entity.
→ This prevents duplication of customer data across platforms.
→ It supports seamless enterprise system integration."
 What is SAP Order ID?,"→ SAP Order ID is the unique identifier of the order in the SAP system.
→ It allows tracking the same order across Salesforce and SAP.
→ It ensures synchronization between sales and finance systems.
→ It improves cross-platform data consistency."
What is SAP URL?,"→ SAP URL provides a direct link to view the order inside the SAP system.
→ It eliminates the need to manually search in SAP.
→ It saves time for sales and finance teams.
→ It improves integration efficiency."
What is Order Date?,"→ Order Date captures the date and time when the order was created.
→ It helps track order timelines.
→ It is used to calculate payment deadlines.
→ It supports reporting and trend analysis."
 What happens when the Save button is clicked?,"→ The system validates required fields before saving.
→ If all validations pass, the order is stored in the database.
→ The record becomes visible in the Orders List page.
→ Reports and dashboards update accordingly."
 What happens when the Cancel button is clicked?,"→ Any unsaved changes are discarded.
→ The system does not update the record.
→ The user returns to the previous screen.
→ It prevents accidental data entry errors."
What does the Back button do?,"→ The Back button navigates the user to the Orders List page.
→ It does not modify the record.
→ It improves navigation ease.
→ It allows quick return to overview view."
What does the Edit button do?,"→ The Edit button allows modification of existing order details.
→ Users can update fields like Amount or Status.
→ Changes must be saved to take effect.
→ Updated values reflect immediately in reports."
 What does the Delete button do?,"→ The Delete button removes the order record from the system.
→ It may move to recycle bin depending on configuration.
→ Deleted records no longer appear in reports.
→ Only authorized users can perform deletion."
 What is the Clone feature?,"→ Clone creates a duplicate copy of an existing order.
→ All field values are pre-filled in the new record.
→ Users can modify specific details before saving.
→ It reduces repetitive manual data entry."
What is the status progress indicator?,"→ It visually displays the order’s lifecycle stage.
→ It may show steps like Unpaid → Overdue → Paid.
→ Users can quickly understand order status at a glance.
→ It enhances user experience and clarity."
 How does column sorting work in the Orders List page?,"→ Clicking a column header sorts records alphabetically or numerically.
→ Users can toggle between ascending and descending order.
→ It helps identify high-value or priority orders quickly.
→ It improves data analysis efficiency."
 What is the difference between Wrap Text and Clip Text?,"→ Wrap Text expands the row to display full content.
→ Clip Text keeps rows compact and hides overflow text.
→ Wrap improves readability for long text fields.
→ Clip keeps the table visually organized."
 Why is data validation important in the Custom Orders module?,"→ Validation ensures only correct data is entered.
→ Mandatory fields prevent incomplete records.
→ It reduces reporting errors.
→ It ensures smooth SAP integration."
 How does the relationship between Customer and Order work?,"→ Each order is linked to one customer.
→ One customer can have multiple orders.
→ It supports purchase history tracking.
→ It improves customer relationship management."
 Can one customer have multiple orders?,"→ Yes, the system allows multiple orders per customer.
→ This is called a one-to-many relationship.
→ It tracks repeat purchases effectively.
→ It supports revenue analysis per customer."
 How does the Order Date help in tracking orders?,"→ It records when the order was placed.
→ It helps calculate payment deadlines.
→ It supports trend analysis.
→ It assists in performance monitoring."
How does the system help in tracking overdue payments?,"→ Orders can be marked as Overdue when payment is late.
→ Users can filter overdue orders quickly.
→ It prioritizes follow-up actions.
→ It improves cash flow management."
How does the Clone feature improve efficiency?,"→ It eliminates repetitive data entry.
→ It saves time when creating similar orders.
→ It reduces manual errors.
→ It improves productivity."
What happens when an order is deleted?,"→ The record is removed from active database view.
→ Reports no longer include that order.
→ It may be recoverable if recycle bin is enabled.
→ Deletion requires proper authorization."
